assetUid,parentAssetUid,assetType,locationUid,parentLocationUid,locationType
000223ee-a868-474b-abcb-12ff1bad00a3,131d67b7-daaf-4252-9202-5df347a6c2a3,CAMERA,x10g3qw5mojj767m7t,,PARKING_ZONE
000223ee-a868-474b-abcb-12ff1bad00a3,131d67b7-daaf-4252-9202-5df347a6c2a3,CAMERA,7swwraqa8o8jj76a8a3,,PARKING_ZONE
000223ee-a868-474b-abcb-12ff1bad00a3,131d67b7-daaf-4252-9202-5df347a6c2a3,CAMERA,ocqvwifbwnjj768e1r,,PARKING_ZONE
000223ee-a868-474b-abcb-12ff1bad00a3,131d67b7-daaf-4252-9202-5df347a6c2a3,CAMERA,u4j9foam4gk5fukh96,,TRAFFIC_LANE
0011fb71-3f60-4d08-a02c-f09cc96010b8,d11e4bb3-bb81-4811-9dce-85cfad940548,CAMERA,ec968137,,TRAFFIC_LANE
00229e10-1191-4c38-88ef-32230c274a5e,1b51f3d3-f854-4e91-8137-48dd7c47432a,CAMERA,29780c89,,TRAFFIC_LANE
002bc449-4fb7-4846-a18b-4cde87ac04ce,1e5049c4-09ad-4884-b6a1-4755da90c1ad,CAMERA,0d771eewaqpjnlr39e0,,PARKING_ZONE
00344b3a-9c1c-4c3e-9e53-44ed24de66c3,9f940a72-6c18-41f9-a312-3a345d546b30,CAMERA,uebxh6syasik26kpcq0,,TRAFFIC_LANE
00344b3a-9c1c-4c3e-9e53-44ed24de66c3,9f940a72-6c18-41f9-a312-3a345d546b30,CAMERA,4f35li1fvp3jnkrd8o9,,PARKING_ZONE
003e280f-a91c-4bbb-8a37-66fa7582e033,90967fc9-725b-4d83-88f8-7b911c4be7ba,CAMERA,upm6nl9cjb9jino89va,,PARKING_ZONE
008432ef-bf31-4742-a5a8-4b7873d9d267,08103400-43b6-4333-9b8a-a3a4bab873c7,CAMERA,9678edf0,,TRAFFIC_LANE
0084b1c1-832f-462f-b974-1e8386264fdc,336e3be3-6c39-403c-ba15-abb68d4807a9,CAMERA,74a4c1d8d75cce72753fd15b09ed4c4f,,PARKING_ZONE
008cdbac-eb0c-4d22-ba50-c7477db86d5d,be584bde-0286-4055-bbba-2da642b7d02d,CAMERA,r04b45m0i5ijvcugeti,,PARKING_ZONE
008cdbac-eb0c-4d22-ba50-c7477db86d5d,be584bde-0286-4055-bbba-2da642b7d02d,CAMERA,29671188,,TRAFFIC_LANE
00989f95-6964-4bf2-9a90-29bf42b0cab4,b7edb4e8-b0a3-4a93-99b4-ba8747c7f9a0,CAMERA,tylxfdpg7hmjiw6a1a4,,PARKING_ZONE
009aeb21-b476-4e08-84b7-2e321422e281,189a9775-cff8-4e49-bf83-6a6ae61b6106,CAMERA,5e615f75,,TRAFFIC_LANE
00bdca4f-99e5-4856-a466-9c7651acf372,09a568be-8ed2-471a-8ddb-f42ba0cede03,CAMERA,f830fd0a,,TRAFFIC_LANE
00c6b5d6-df99-4696-be16-d274af05ea89,21ec1d88-a4ec-4b2d-882e-a23477e30bb6,CAMERA,08b76bb6,,TRAFFIC_LANE
00cccab4-5219-4644-9562-2e6d94cfc689,1826d8aa-9d38-4186-9393-61eca04178a0,CAMERA,3ed9db63,,TRAFFIC_LANE
00dda254-6c8d-42c0-b1ac-bf880bcf8dda,9656ccfe-4566-4341-b000-1d332917a931,CAMERA,5a1c3152,,TRAFFIC_LANE
00e45d7a-a441-4a8c-b7a0-ebea43408a2d,abd11c7a-c95f-43d8-814e-c28825b20d2c,CAMERA,g1t1dd00s5mjqgrinmf,,PARKING_ZONE
00e45d7a-a441-4a8c-b7a0-ebea43408a2d,abd11c7a-c95f-43d8-814e-c28825b20d2c,CAMERA,f4e37ace,,TRAFFIC_LANE
00e45d7a-a441-4a8c-b7a0-ebea43408a2d,abd11c7a-c95f-43d8-814e-c28825b20d2c,CAMERA,ns96gaa8uxljqgric9u,,PARKING_ZONE
00e73752-8723-4c52-a1a0-0c1e101cc778,4f7e7120-e165-4de6-9690-79fdefb23229,CAMERA,a2983877,,TRAFFIC_LANE
00ef16a4-7c1b-4cde-adea-f622d56e40a3,151d17e0-bf33-441e-815e-5966cd6c4c2b,CAMERA,656d1ff5,,TRAFFIC_LANE
00f5f734-84d9-4131-92f1-9d1652902058,6b28ce1b-d06d-4aac-9eb2-e44a9cefd880,CAMERA,sjcwfaxv8hlk074iz5p,,TRAFFIC_LANE
010b3841-520e-4286-9c56-c9dc298c47d7,75132685-189d-48f6-a2f0-f548fd0790b6,CAMERA,6d8897ac,,WALKWAY
010b3841-520e-4286-9c56-c9dc298c47d7,75132685-189d-48f6-a2f0-f548fd0790b6,CAMERA,6d8a9a33,,TRAFFIC_LANE
010bbbfc-402a-44e1-8441-8b27543e332a,f291d891-2ca3-4278-8bee-e25efa1556f0,CAMERA,e01mg0kni9jl3vtriy,,PARKING_ZONE
0111c6d0-8cea-45d8-b5f5-6520bcf76847,35def9ce-dc41-4af1-9454-abd75a9aa350,CAMERA,238026f2,,TRAFFIC_LANE
011d024e-b63a-46dd-a3ca-a70c7568d5f7,6cbcf230-fe2c-47cc-847f-225e9f843bf4,CAMERA,cp7tfr2pqs9jk2l4v9g,,PARKING_ZONE
01201041-c0fa-4fc1-9055-8d71ad4b519c,c65b3172-72db-49e6-9418-4dae770134cd,CAMERA,2088283c,,TRAFFIC_LANE
01201041-c0fa-4fc1-9055-8d71ad4b519c,c65b3172-72db-49e6-9418-4dae770134cd,CAMERA,208625b5,,WALKWAY
01254b34-967a-4b72-8957-8ab021f86d7b,9632421e-da5f-467a-ac96-e5e4f251d7e3,CAMERA,2622a222,,TRAFFIC_LANE
0126eff8-1d93-41b1-a2e8-131970dbb80b,e6eaa3ca-c2db-4bae-ba1d-3aa6eac30e97,CAMERA,194409b8,,TRAFFIC_LANE
01298149-bf89-436f-9dbe-6afcc449d326,9a9bfd85-4ac0-4a45-9540-ebbe1469c7d1,CAMERA,70bbed6d,,TRAFFIC_LANE
012aa496-7191-4ed4-a50e-9c4d46f93162,edca6281-1b82-47a2-aa9c-0fbe058c5f8a,CAMERA,9cb14de1,,TRAFFIC_LANE
012aa496-7191-4ed4-a50e-9c4d46f93162,edca6281-1b82-47a2-aa9c-0fbe058c5f8a,CAMERA,9caf4b5a,,WALKWAY
015c68c1-58b4-4789-b2b2-77cdc87aa5dd,c3b7d6ca-00d8-4595-a296-680279b474a7,CAMERA,48c847bb,,WALKWAY
0161240c-aa9c-4a60-b693-d7af5270ebe3,afa710e2-a43e-427c-a27d-7887cd000845,CAMERA,194a1694qj6k0ct3eqc,,TRAFFIC_LANE
